카테고리,상품명,홍보문구,추천,가격,이미지,링크,등록일
득템방,"이지앤프리 턴메이트 회전트레이 냉장고 턴테이블 정사각 투명, 1개입, 1개",,,24870,https://img1c.coupangcdn.com/image/affiliate/banner/66e63e05d666a1783acbd7a7e6358142@2x.jpg,https://link.coupang.com/a/ghBAp8S7xc,2026-08-17
득템방,"제너럴키친 다용도 투명 회전트레이, 1개",,,8900,https://image1.coupangcdn.com/image/affiliate/banner/5fba5d3d870c857f98f13981648200a2@2x.jpg,https://link.coupang.com/a/ghBCp3qMW4,2026-08-17
득템방,"드링크팡팡 음료수 생수 뚜껑 펀치 + 자바라 빨대 100p 세트, 민트(펀치) + 혼합색상(빨대), 1세트",,,8070,https://image10.coupangcdn.com/image/affiliate/banner/0f0b8c4c997570d983d646256849124e@2x.jpg,https://link.coupang.com/a/ghCjEnT5zM,2026-08-17
득템방,"코멧 키친 셀룰로오스 스펀지 수세미, 10개입, 1개",,,5550,https://img3a.coupangcdn.com/image/affiliate/banner/721201a8925752e7ee623816f4567c3a@2x.jpg,https://link.coupang.com/a/ghDc3y6rdY,2026-08-17
득템방,"홈플래닛 욕실 주방 휴대폰 방수 거치대 360도 회전 각도조절, 화이트, 1개",,,7190,https://static.coupangcdn.com/image/affiliate/banner/6ed0546ac039f3b2b1e0e36bb93b6c9a@2x.jpg,https://link.coupang.com/a/ghDtaiwb5E,2026-08-17
득템방,"보아르 에이블나인 제빙기 미니 휴대용 캠핑 소형 아이스메이커 가정용 얼음 자동세척, VO-KE001(블랙)",직접 써보고 넘 편리한 제품,,131100,https://image15.coupangcdn.com/image/affiliate/banner/d38562cb057d66ad099ab8f7f6230efe@2x.jpg,https://link.coupang.com/a/ghDyME9YsK,2026-08-17
득템방,"미홀 W15S WJIT 스마트 창문 로봇 청소기, 화이트, HCR-09",이번주 특가입니다,,57900,https://img2c.coupangcdn.com/image/affiliate/banner/f601f5564200e0d47ea314b9457cda1d@2x.jpg,https://link.coupang.com/a/ghDKKu2Px6,2026-08-17
득템방,"무아스 원클릭 쿠킹 타이머, 화이트, 1개",지금 편리하게 사용중,,11950,https://image3.coupangcdn.com/image/affiliate/banner/26b19f99cd5a9e008d4954896f6f2474@2x.jpg,https://link.coupang.com/a/ghELZYOt5M,2026-08-17
득템방,"몬스터겔 다용도 초강력 실리콘 양면테이프 30mm x 1m, 투명, 1개",직접 써보고 추천,,7900,https://image9.coupangcdn.com/image/affiliate/banner/6f4003b1672a3d81aba60b47d7c981af@2x.jpg,https://link.coupang.com/a/ghER3xrExU,2026-08-17
득템방,"대쉬 멀티클린 다용도 스펀지 틈새먼지제거 물기제거, 1개",,,6900,https://image11.coupangcdn.com/image/affiliate/banner/b70a6d3ef92ad117382cdd0a4ebbda0f@2x.jpg,https://link.coupang.com/a/ghEWnp6E56,2026-08-17
득템방,"모스트픽 더 길어진 끈질긴 니트릴 고무장갑, 화이트, 중(M), 1세트",,,6500,https://img3c.coupangcdn.com/image/affiliate/banner/ffae9f0ff3f1ce49cbdee5c844817c26@2x.jpg,https://link.coupang.com/a/ghEZ2NdEaW,2026-08-17
득템방,"락앤락 바로 한끼 도자기 밥용기, 8개, 250ml",,,29000,https://img4a.coupangcdn.com/image/affiliate/banner/402ab2da36a147b01c1457e77f0133b6@2x.jpg,https://link.coupang.com/a/ghE68HQFtQ,2026-08-17
득템방,"게임 PC방 젓가락 과자 스낵 손가락 집게 깔끔 위생, 그레이, 그레이, 1개",,,230,https://image4.coupangcdn.com/image/affiliate/banner/ad36163cbd90d03fe1d87b1ad1080d74@2x.jpg,https://link.coupang.com/a/ghFdPpjIlg,2026-08-17
득템방,"푸벨드마망 충전식 걸이형 센서 휴지통 7L, 화이트",,,27500,https://image10.coupangcdn.com/image/affiliate/banner/f056e5b563d73ee7413a32d056052fcf@2x.jpg,https://link.coupang.com/a/ghFkzTEda0,2026-08-17
득템방,"국내특허 자동개폐 싱크대 트랩 배수구 덮개, 실버, 1개",,,4500,https://img1c.coupangcdn.com/image/affiliate/banner/ce156088baa493f1961e604dbf3861d0@2x.jpg,https://link.coupang.com/a/ghFvsinGh2,2026-08-17
득템방,"핏쉴드 키네시올로지 스포츠 테이핑 테이프, 4개",,,7100,https://image13.coupangcdn.com/image/affiliate/banner/f7eb47a2ffeaec69aae8c9ffc16f6680@2x.jpg,https://link.coupang.com/a/ghFROF1JO8,2026-08-17
득템방,"베노아르 TDS 측정기 테스트기 휴대용 수질 테스터, TDS측정기 일반형",,,1890,https://static.coupangcdn.com/image/affiliate/banner/2d9d261af02e253095099f5b6d03d2f7@2x.jpg,https://link.coupang.com/a/ghGDexPu9c,2026-08-17
득템방,"스카치 층간소음 방지 가구이동 슬라이더 16p + 미끄럼방지패드 4p, 1세트",,,7310,https://image7.coupangcdn.com/image/affiliate/banner/e427660fb60097db53ee092928bf3d6b@2x.jpg,https://link.coupang.com/a/ghGKkzNCou,2026-08-17
득템방,"키친아트 스텐 사각 설거지통 10L + 타공 트레이 세트, 1개",,,26900,https://image1.coupangcdn.com/image/affiliate/banner/d2d4347930b51f26953a0fb6a6f36f82@2x.jpg,https://link.coupang.com/a/ghGYDCTMzI,2026-08-17
득템방,"줌인 초고화질 내시경 귀이개 1000만 화소 LED 귀내시경 + 교체팁 30개 + 귀이개 케이스 세트, 1세트, 1개입",,,29800,https://img2a.coupangcdn.com/image/affiliate/banner/561c956e1d90c204a5d301b3036280cb@2x.jpg,https://link.coupang.com/a/ghG30t2YwK,2026-08-17
득템방,"100% 무타공 서랍식 행주건조대 스테인레스 국산 행주걸이 공중부양 스테인리스 집들이, 1. 서랍식 행주건조대, 1개, 크림화이트",,,19390,https://static.coupangcdn.com/image/affiliate/banner/ae6ba730512dba39f2eb70ef34e87292@2x.jpg,https://link.coupang.com/a/ghG8dZKgQm,2026-08-17
득템방,"오아 미니 핸디 무선 진공 소형 스틱 청소기, OCVC-006WH, 화이트",2개 남음 빨리 주문하세요!!,,56000,https://img5a.coupangcdn.com/image/affiliate/banner/8b66cfb7d90be21ab18f4bbe356c0aa9@2x.jpg,https://link.coupang.com/a/ghHgzJZBYa,2026-08-17
득템방,"야채 탈수기, 화이트 + 그린, 1개",,,5490,https://image8.coupangcdn.com/image/affiliate/banner/25fafc6caf1ea89dcd16fea99455a7d9@2x.jpg,https://link.coupang.com/a/ghIAVLLxGC,2026-08-17
득템방,"글라스락 렌지쿡 계란찜 용기 705ml, 투명, 2개",,,19680,https://static.coupangcdn.com/image/affiliate/banner/6b42bfc55228e0338a799d1876a80639@2x.jpg,https://link.coupang.com/a/ghJu7nUym4,2026-08-17
득템방,"코멧 야채 스핀 다지기, 화이트+그레이, 1개",,,5110,https://image7.coupangcdn.com/image/affiliate/banner/44339ad101b94f6fc8e597b952e7dab8@2x.jpg,https://link.coupang.com/a/ghJCyUFQ1A,2026-08-17
인테리어,"프렌티 여름 바다 물결 웨이브 파티커튼, 아쿠아블루",,,4400,https://img3a.coupangcdn.com/image/affiliate/banner/afb8e4ec9d951117501829b10c7985ea@2x.jpg,https://link.coupang.com/a/ghMRHPUe6K,2026-08-17
득템방,"달팽이리빙 푸벨드마망 벽걸이 슬라이드 오픈 휴지통 7L, 화이트",너무너무 편리해요~,,7500,https://img1c.coupangcdn.com/image/affiliate/banner/3ce5ed04756ff5a0d6001fc0376e9eca@2x.jpg,https://link.coupang.com/a/gjF1NvamcK,2026-08-18
득템방,"이지앤코 강력흡수 다용도 먼지 먹는 스펀지 물기제거 6종, 1세트",,,4900,https://img1a.coupangcdn.com/image/affiliate/banner/f433a55b19318706e461535ba1bbba41@2x.jpg,https://link.coupang.com/a/gjF5317Fng,2026-08-18
득템방,실리만 국내생산 실리콘 하모니 와이드 뒤집개 코코아그레이 1개,,,11170,https://image9.coupangcdn.com/image/affiliate/banner/93eca700e6d3c025fb53621a167f8ee4@2x.jpg,https://link.coupang.com/a/gjGaU9Z5xs,2026-08-18
득템방,"바겐슈타이거 인덕션 IH 에델 계란말이팬 + 실리콘뒤집개 코코아 세트, 1개, 24cm",,,28900,https://image10.coupangcdn.com/image/affiliate/banner/f585b017d6736a85972bdd63ec165365@2x.jpg,https://link.coupang.com/a/gjGNjRrBpQ,2026-08-18
득템방,"비로르 무타공 주방 선반 키친타올 걸이, 1개, 화이트",,,1770,https://image11.coupangcdn.com/image/affiliate/banner/a8ff1ebe40826c54e97c63968557b2ae@2x.jpg,https://link.coupang.com/a/gjG6B9xvb2,2026-08-18
건강노트,"바른살림 스탠 304 일립스 연마제 걱정 없이 쌀 씻는 세척볼, 실버, 1개",,,8700,https://img4a.coupangcdn.com/image/affiliate/banner/47b4f487fc2d2088ac6ad1165e2f1d9c@2x.jpg,https://link.coupang.com/a/gjHddQZLgq,2026-08-18
득템방,"도블레 칼집나지 않는 항균 도마, 라이트그레이, 1개",,,14060,https://image8.coupangcdn.com/image/affiliate/banner/68d97ade38b01c1b54cb6137674b804b@2x.jpg,https://link.coupang.com/a/gjHqasYe5s,2026-08-18
득템방,"바겐슈타이거 스텐 커버앤레이들 홀더, 1개",,,15900,https://img3a.coupangcdn.com/image/affiliate/banner/71c65cdd59a337733ac55145f673cf51@2x.jpg,https://link.coupang.com/a/gjHHKKN29A,2026-08-18
득템방,"오지렌 네임스티커 감열식 라벨프린터 라벨기 화이트, WP9529(화이트), 1개",,,19800,https://img2c.coupangcdn.com/image/affiliate/banner/a2a6c15b61359d92d7fca3c5c0bbda35@2x.jpg,https://link.coupang.com/a/gjHNTRhmF2,2026-08-18
득템방,"발본다 휴대용 미니 실링기 봉지 과자 비닐 밀봉기 충전식 가정용, White, 1개",,,6900,https://image11.coupangcdn.com/image/affiliate/banner/acf4c9e952ca40e31ae738b0da9abb2b@2x.jpg,https://link.coupang.com/a/gjHSIksPDg,2026-08-18
득템방,"제이에스타 2way 오일 스프레이 유리 오일병 그린, 2세트, 470ml",,,9900,https://img2c.coupangcdn.com/image/affiliate/banner/7e4de0af5684c2f765dd04d2ec6a8a31@2x.jpg,https://link.coupang.com/a/gjH2lSj2mO,2026-08-18
득템방,"셰프라인 연마제 걱정없는 스텐 트레이 세트, 1세트, 트레이 + 바트 + 랙",,,19900,https://img4a.coupangcdn.com/image/affiliate/banner/dfb27709555d1983c69686b34a497726@2x.jpg,https://link.coupang.com/a/gjIlmij8kS,2026-08-18
득템방,"2세대 매쉬 1초 빨래바구니 이지런드리 더 튼튼해진 건조가 빠른 접이식 세탁바구니 빨래망, 1개, 화이트",,,10000,https://image5.coupangcdn.com/image/affiliate/banner/7495f780cea6987d1758374edccb1f3a@2x.jpg,https://link.coupang.com/a/gjIs24yZxI,2026-08-18
득템방,"실리쿡 유리 물병 3p 세트, 혼합색상, 1L, 1개",,,18900,https://image9.coupangcdn.com/image/affiliate/banner/75e8333efbd6ef5ef2454316324caa95@2x.jpg,https://link.coupang.com/a/gjIE7nJrGK,2026-08-18
득템방,"낫띵베럴 이너클렌즈 48시간 공복 클렌즈 디톡스 ABC주스, 2개, 1L",,,29900,https://img3a.coupangcdn.com/image/affiliate/banner/93ba49c46789b3f49a6f3c251d7963fd@2x.jpg,https://link.coupang.com/a/gjMTb2HtrE,2026-08-18
득템방,"미엘 Miel 클린워터 청소용 엠보싱 물티슈 행주티슈 80매 20팩 대용량(베이킹소다 함유), 20개",,,28900,https://image8.coupangcdn.com/image/affiliate/banner/e07548bc4640755a83901fcc5b2c9335@2x.jpg,https://link.coupang.com/a/gjRm8F37OS,2026-08-18
득템방,"탐사 베이킹소다 함유된 한번에 잘 닦이는 다용도 세정티슈 80매 엠보싱, 4개",,,7840,https://img1a.coupangcdn.com/image/affiliate/banner/e84486d2c8b5e2bc1e48056bfb5f7f7d@2x.jpg,https://link.coupang.com/a/gjRWND8JXg,2026-08-18
득템방,"투에스리빙 모던 드레스룸 시스템 행거 옷장, 블랙",,,74900,https://image6.coupangcdn.com/image/affiliate/banner/d9feb19425b3d43170d876bcef01eb1c@2x.jpg,https://link.coupang.com/a/gjSXOya4EC,2026-08-18
득템방,"100%자연산 모짜렐라 스트링치즈1kg(치즈스틱용/절단), 1kg, 1개",,,12000,https://img2c.coupangcdn.com/image/affiliate/banner/ddbd29f091a5e0506dc21a383daf5ddc@2x.jpg,https://link.coupang.com/a/gnb0nEPXtQ,2026-08-20
득템방,"풀무원 우유또띠아 지름 20cm, 45g, 5개입, 1개",,,3420,https://image7.coupangcdn.com/image/affiliate/banner/1185686ba0ae46c9e74378394c3c845e@2x.jpg,https://link.coupang.com/a/gnb9I5fdu0,2026-08-20
득템방,"오뚜기프레스코 토마토 스파게티소스, 600g, 1개",,,5480,https://image14.coupangcdn.com/image/affiliate/banner/24d716730f39efa4f454cbfb3502b212@2x.jpg,https://link.coupang.com/a/gnceIjp0MK,2026-08-20
득템방,"삼립 프로젝트H 고단백 저당 모닝빵 (냉동), 25g, 1개, 6개입",,,4900,https://img2c.coupangcdn.com/image/affiliate/banner/f9e6e2730566820a492f024be8b1b27a@2x.jpg,https://link.coupang.com/a/gnchYkHQnA,2026-08-20
득템방,"하림 닭가슴살 블랙페퍼, 510g, 1개입, 1개",,,10980,https://image4.coupangcdn.com/image/affiliate/banner/54fdc430152357da14e60bab48fd81ee@2x.jpg,https://link.coupang.com/a/gnclxE1nhc,2026-08-20
득템방,"데체코 바질 페스토, 190g, 1개",,,5710,https://image4.coupangcdn.com/image/affiliate/banner/4d26c2685283155cf05124b543010ac1@2x.jpg,https://link.coupang.com/a/gncqt8crM4,2026-08-20
득템방,"[100% 국산] 냉장 앞다리 수제족발 [찐 전주맛집 끝강족발] 순살족발 무뼈 슬라이스, 300g, 2개",,,25800,https://img1c.coupangcdn.com/image/affiliate/banner/b68a23c11c3317ccb86ec08dc7ade8ff@2x.jpg,https://link.coupang.com/a/gncvH2qtSm,2026-08-20
득템방,"목우촌 오븐 닭다리살 오리지널 (냉동), 400g, 1개",,,10100,https://img2c.coupangcdn.com/image/affiliate/banner/7933f645f8c2afa271076c65384d735c@2x.jpg,https://link.coupang.com/a/gnczW8Rc7g,2026-08-20
득템방,엘라운지 1+1 다용도 파우치 벨크로 매직 마술 자석 이너백,,,9030,https://img4c.coupangcdn.com/image/affiliate/banner/0950479a1993c1bb4e1869bea9e32be5@2x.jpg,https://link.coupang.com/a/gncD8eD7qC,2026-08-20
득템방,"지티팜 무농약 유럽상추 유러피안 샐러드 채소 모듬쌈 1kg 버터헤드 크리스탈 로메인 바타비아 오크리프, 1박스",,,14900,https://image3.coupangcdn.com/image/affiliate/banner/482f7119380f40790b3d43fa8855ba05@2x.jpg,https://link.coupang.com/a/gncKkoPLPM,2026-08-20
득템방,"투데이리빙 6개 세트 다용도 와이드 밀봉 집게 넓은 밀폐 마개 대형 시리얼 과자 봉지 마개 씰링 홀더 와이드형 대용량, 혼합 색상",,,7900,https://image15.coupangcdn.com/image/affiliate/banner/ec62b9b356c8a66210c7b53cb18d8c1b@2x.jpg,https://link.coupang.com/a/gnKSdmwv1M,2026-08-20
득템방,"올릭 휴대용 비닐 봉지 충전식 가정용 스마일 캐릭터 미니 실링기, 화이트, 1개",,,4970,https://image1.coupangcdn.com/image/affiliate/banner/3f525d789aadd95696791ab30644a6c1@2x.jpg,https://link.coupang.com/a/gnKYGXCcYS,2026-08-20
득템방,"Ambition 1+1 접이식 휴대용 무선 미니 손선풍기 세트, 블루+블루, DS18",,,9800,https://image11.coupangcdn.com/image/affiliate/banner/23f6abb6bc9cd74e1bff3b5c143e8004@2x.jpg,https://link.coupang.com/a/gpVIAjuJxY,2026-08-22
건강노트,"극강 고정 프리미엄 3중 안전 문틀 철봉 가정용 턱걸이 운동기구, 혼합색상",,,29800,https://image6.coupangcdn.com/image/affiliate/banner/952250e1345dc99e35f128aba357d416@2x.jpg,https://link.coupang.com/a/gqzRsgZ0oe,2026-08-22
득템방,"레일 이동 운반 기구 가구 옮기는 냉장고 블랙 한쌍 바퀴 받침대 세탁기, 화이트 휠, 0층, 1개",,,19000,https://img5a.coupangcdn.com/image/affiliate/banner/cf0fd0bab838fe06b943258b8f8ff6f6@2x.jpg,https://link.coupang.com/a/gwjTFVuetM,2026-08-26
득템방,"레일 이동 운반 기구 한쌍 냉장고 가구 카트 화물 옮기는 지렛대 화이트 휠 세탁기 옮기기, 1개, 기본 블랙 24 45-70 cm",,,23500,https://img3c.coupangcdn.com/image/affiliate/banner/e582e1e83d8cf61d030da72f35bd3a5d@2x.jpg,https://link.coupang.com/a/gwj1KVeBwW,2026-08-26
득템방,"가구이동 바퀴 길이조절 만능 지렛대 세탁기 운반이동, 1개",지금 주문하면 내일 도착합니다,Y,23000,https://image11.coupangcdn.com/image/affiliate/banner/db1c1acb6e4d73c9cb388ff822074c46@2x.jpg,https://link.coupang.com/a/gwksPcQK60,2026-08-26
득템방,"ahomeone 음식물 거름망 스테인리스 백조 모양 싱크대 음식물 거치대, 1개, 실버",,,6500,https://img1a.coupangcdn.com/image/affiliate/banner/d731e21a580f286549013c32c982fef4@2x.jpg,https://link.coupang.com/a/gw9S9YgFBQ,2026-08-26
